Unnamed: 0,title,id_tmdb,overview,recommendations,note_moyenne,lien_photos,budget,revenue,production_companies,AnSortie,id_video,trailers,Year
0,Le Fabuleux Destin d'Amélie Poulain,194,"Amélie, une jeune serveuse dans un bar de Montmartre, passe son temps à observer les gens et à laisser son imagination divaguer. Elle s'est fixée un but : faire le bien de ceux qui l'entourent. Elle invente alors des stratagèmes pour intervenir incognito dans leur existence. Le chemin d'Amélie est jalonné de rencontres: Georgette, la buraliste hypocondriaque, Lucien, le commis d'épicerie, Madeleine Wallace, la concierge portée sur le porto et les chiens empaillés, ou encore Raymond Dufayel alias « l'homme de verre », son voisin qui ne vit qu'à travers une reproduction d'un tableau de Renoir. Cette quête du bonheur amène Amélie à faire la connaissance de Nino Quincampoix, un étrange « prince charmant ». Celui-ci partage son temps entre un train fantôme et un sex-shop, et cherche à identifier un inconnu dont la photo réapparaît sans cesse dans plusieurs cabines de photomaton.","['Mary à tout prix', 'Pretty Woman', ""L'Arnacœur"", 'Amour & turbulences', ""L'Âge de raison""]",7,https://image.tmdb.org/t/p/original//tdXtLG6L1QMwrv0MNdW6B9IwC8B.jpg,10000000.0,173921954.0,"Victoires Productions, Tapioca Films, France 3 Cinéma, MMC Independent, UGC",1970-01-01 00:00:00.000002001,"['658588af3acd2054717b5c24', '6585890cd64ac21b0c14265f', '658588ff4f33ad5c70020194', '658588ee71f095582423de85', '6585891f4f33ad5c7002019f', '6585895743cd54546c3c371e', '5cafa362c3a3683c30ab2680']","['https://www.youtube.com/watch?v=Py7cDXQae2U', 'https://www.youtube.com/watch?v=UkLkim0HYME', 'https://www.youtube.com/watch?v=e2vTkFFuQYY', 'https://www.youtube.com/watch?v=vD0h-Nb5qhs', 'https://www.youtube.com/watch?v=cT0bGB0eCpI', 'https://www.youtube.com/watch?v=YWqs2hDO4Eg', 'https://www.youtube.com/watch?v=2UT5xaAfxWU']",1970.0
1,La science des rêves,300,"Venu travailler à Paris dans une entreprise fabriquant des calendriers, Stéphane Miroux mène une vie monotone qu'il compense par ses rêves. Devant des caméras en carton, il s'invente une émission de télévision sur le rêve.Un jour, il fait la connaissance de Stéphanie, sa voisine, dont il tombe amoureux. D'abord charmée par les excentricités de cet étonnant garçon, la jeune femme prend peur et finit par le repousser. Ne sachant comment parvenir à la séduire, Stéphane décide de chercher la solution de son problème là où l'imagination est reine...","['Toto le héros', 'Une sirène à Paris', 'Incroyable mais vrai', 'Vincent doit mourir', 'Angel-A']",7,https://image.tmdb.org/t/p/original//aRMpMDCitnnwOQw86y9pOQOIvoo.jpg,6000000.0,9524340.0,"Partizan Films, Gaumont, France 3 Cinéma, TPS Star, Mikado Film, Canal+",1970-01-01 00:00:00.000002006,"['624c8d306b5fc200a7feb22f', '65407352eec5b5011ee9ce42']","['https://www.youtube.com/watch?v=GCYAQn7W19s', 'https://www.youtube.com/watch?v=dHtE0szIip0']",1970.0
2,Caché,445,"Georges, journaliste littéraire, reçoit des vidéos — filmées clandestinement depuis la rue — où on le voit avec sa famille, ainsi que des dessins inquiétants et difficiles à interpréter. Il n'a aucune idée de l'identité de l'expéditeur. Peu à peu, le contenu des cassettes devient plus personnel, ce qui laisse soupçonner que l'expéditeur connaît Georges depuis longtemps. Ce dernier sent qu'une menace pèse sur lui et sur sa famille, mais comme cette menace n'est pas explicite, la police lui refuse son aide…","['Demonlover', 'Boîte noire', 'Paris nous appartient', 'La Route de Salina', ""Maigret et l'Affaire Saint-Fiacre""]",7,https://image.tmdb.org/t/p/original//vSIGVNCLDnw1NYH8mgSrxC5jYQn.jpg,8731048.0,36000000.0,"Les Films du Losange, Wega Film, Bavaria Film, BIM Distribuzione",1970-01-01 00:00:00.000002005,"['65b552a22faf4d0163dc3e82', '5da3742d1967570017ab353f', '65b552f04f33ad01310bb661']","['https://www.youtube.com/watch?v=5DO-b_L5yB4', 'https://www.youtube.com/watch?v=pvT_9TqIEtM', 'https://www.youtube.com/watch?v=e0cJMGcbLbo']",1970.0
3,À ma sœur !,570,"Anaïs, douze ans, se trouve complexée par son poids. Tapie dans l'ombre ou laissée pour compte, elle souffre intérieurement. C'est l'été, la mer, les vacances en famille, l'apprentissage du premier amour. Cet apprentissage, Anaïs le fait en observant sa sœur aînée Eléna. Celle-ci, quinze ans, incarne la beauté du diable. Pas plus intelligente, ni plus bête que sa cadette, elle rejette l'idée de n'être qu'un objet de désir. La perte de la virginité des filles va ouvrir la porte au drame.","['Le Pornographe', ""J'ai tué ma mère"", 'Les Quatre Cents Coups', ""L'Apollonide, souvenirs de la maison close"", 'Papicha']",6,https://image.tmdb.org/t/p/original//426B9x66W1lrhCsOqKtij3vFp4Z.jpg,0.0,766000.0,"Urania Pictures, CB Films, Immagine e Cinema, CNC, Canal+, ARTE France Cinéma, Flach Film",1970-01-01 00:00:00.000002001,"['669bfcbfbcaa120b638b9d0f', '64c41c7563aad2020a8a08a2', '5dd5a502b39e3500138eec09']","['https://www.youtube.com/watch?v=4mjtBsUnFsE', 'https://www.youtube.com/watch?v=uoRPBoOrtKc', 'https://www.youtube.com/watch?v=S7K2ZRuwBgg']",1970.0
4,Irréversible,979,"Une jeune femme, Alex, se fait violer par un inconnu dans un tunnel. Son compagnon Marcus et son ex-petit ami Pierre décident de faire justice eux-mêmes.","['Z', ""L'Enfer"", 'Tirez sur le pianiste', 'Le Choix des armes', 'Plein soleil']",7,https://image.tmdb.org/t/p/original//o6bXnLTiNUvnHShkxqUOnzpdCgk.jpg,3500000.0,6500000.0,"Wild Bunch, Eskwad, StudioCanal, Les Cinémas de la Zone, Nord-Ouest Productions, 120 Films, Canal+",1970-01-01 00:00:00.000002002,['5abebde40e0a264a6001c18c'],['https://www.youtube.com/watch?v=FxPNSErZ5bE'],1970.0
5,L'Auberge espagnole,1555,"Xavier, un jeune homme de 25 ans, part à Barcelone pour terminer ses études en économie et apprendre l’espagnol. Cette langue est nécessaire pour occuper un poste, que lui promet un ami de son père, au ministère des Finances. Mais pour ce faire, il doit quitter sa petite amie Martine, avec qui il vit depuis quatre ans. En Espagne, Xavier cherche un logement et trouve finalement un appartement dans le centre de Barcelone qu’il compte partager avec 7 autres personnes. Chacun de ses co‐locataires est originaire d’un pays différent.","['Le Nom des gens', 'Les beaux gosses', 'Ridicule', 'Gemma Bovery', 'Un 32 août sur terre']",7,https://image.tmdb.org/t/p/original//qKq4uLZDAJhBfpRsfPRYouQ5jW5.jpg,5300000.0,3897799.0,"Mate Producciones S.A., Bac Films, Ce Qui Me Meut Motion Pictures, France 2 Cinéma, Mate Films, StudioCanal, Vía Digital, Fox Searchlight Pictures",1970-01-01 00:00:00.000002002,"['533ec658c3a3685448000886', '533ec658c3a3685448000885', '533ec658c3a3685448000887']","['https://www.youtube.com/watch?v=AsvJFtUDfl0', 'https://www.youtube.com/watch?v=_50dxILpJ_c', 'https://www.youtube.com/watch?v=CCs6AzLeNQI']",1970.0
6,Les Poupées russes,1826,"Xavier a 30 ans. Il a réalisé son rêve d’enfance, il est devenu écrivain, mais il semble quand même un peu perdu. Il a quelques problèmes avec sa banquière. Il a également des réticences à se fixer avec une fille et enchaîne les aventures amoureuses avec inconséquence. Xavier est contraint de continuer son travail à Londres, puis à Saint‐Pétersbourg. Ces nouveaux voyages lui permettront peut‐être de réconcilier le travail, l’amour et l’écriture.","['The Artist', ""Bienvenue chez les Ch'tis"", 'Gemma Bovery', 'Le Redoutable', 'Hors de prix']",6,https://image.tmdb.org/t/p/original//6TsIJvLTlqVZPzpsx6asbz5jkfl.jpg,13000000.0,23727301.0,"StudioCanal, TPS Cinéma, Lunar Films, Ce Qui Me Meut Motion Pictures, Canal+, France 2 Cinéma",1970-01-01 00:00:00.000002005,"['533ec659c3a36854480009cb', '533ec659c3a36854480009ca']","['https://www.youtube.com/watch?v=kP_OaO6dbMk', 'https://www.youtube.com/watch?v=Nu8F2EL1l-I']",1970.0
7,Dans ma peau,1836,"Agée d'une trentaine d'année, Esther réalise ce dont on peut rêver à son âge : en mission dans une société d'études de marché, elle réussit à passer chef de projet junior. Elle vit aussi une histoire d'amour avec Laurent avec qui elle envisage d'acheter un logement.  Tout va donc bien jusqu'au moment où elle tombe dans le jardin sombre d'une maison où se tient une soirée à laquelle elle participe. Plusieurs heures après sa chute, elle se rend compte qu'elle est vraiment blessée et doit se rendre aux urgences. Elle ne comprend pas pourquoi elle n'a pas senti cette blessure, pourquoi elle n'a pas eu conscience de ce qui se passait dans son corps.  Esther commence alors à se lacérer la peau, comme pour retrouver la présence de son corps.","['Lux Æterna', 'Mais ne nous delivrez pas du mal', 'Grave', 'Sombre', ""L'Exorciste""]",6,https://image.tmdb.org/t/p/original//hoLNth29tYYUM5HoqXmBjKvL9zk.jpg,0.0,31046.0,"Lazennec et Associés, CNC, Natexis Banques Populaires Images 2",1970-01-01 00:00:00.000002002,['56c227f9c3a3682601000322'],['https://www.youtube.com/watch?v=HP6Ro-Rwvl8'],1970.0
8,"Va, vis et deviens",1986,"En 1984, des milliers d'Africains de 26 pays frappés par la famine se retrouvent dans des camps au Soudan. A l'initiative d'Israël et des Etats-Unis, une vaste action est menée pour emmener des milliers de Juifs éthiopiens vers Israël.Une mère chrétienne pousse son fils de neuf ans à se déclarer juif pour le sauver de la famine et de la mort. L'enfant arrive en Terre Sainte. Déclaré orphelin, il est adopté par une famille française sépharade vivant à Tel-Aviv. Il grandit avec la peur que l'on découvre son double-secret et mensonge : ni juif, ni orphelin, seulement noir. Il découvrira l'amour, la culture occidentale, la judaïté mais également le racisme et la guerre dans les territoires occupés.","['La Vérité', 'Code inconnu', 'Vivre sa vie: film en douze tableaux', 'Les Cowboys', 'Au hasard Balthazar']",7,https://image.tmdb.org/t/p/original//9epxWjiU1epDK3dg8DKnBhHP1bn.jpg,0.0,0.0,"France 3 Cinéma, Elzévir Films, Oï  Oï  Oï Productions, Cattleya, K2 SA, Transfax Film Productions, Canal+, Medusa Film, SCOPE Invest, CinéCinéma, Kiosque, Fonds Eurimages du Conseil de l'Europe, CNC, Centre du Cinéma et de l'Audiovisuel de la FWB, MEDIA Programme of the European Union, SCOPE Pictures",1970-01-01 00:00:00.000002005,['533ec65ac3a3685448000aac'],['https://www.youtube.com/watch?v=4O1tBFjeoGA'],1970.0
9,Persepolis,2011,"Téhéran 1978 : Marjane, huit ans, songe à l’avenir et se rêve en prophète sauvant le monde. Choyée par des parents modernes et cultivés, particulièrement liée à sa grand-mère, elle suit avec exaltation les évènements qui vont mener à la révolution et provoquer la chute du régime du Chah.
 Avec l’instauration de la République islamique débute le temps des «commissaires de la révolution» qui contrôlent tenues et comportements. Marjane qui doit porter le voile, se rêve désormais en révolutionnaire.
 Bientôt, la guerre contre l’Irak entraîne bombardements, privations, et disparitions de proches. La répression intérieure devient chaque jour plus sévère. Dans un contexte de plus en plus pénible, sa langue bien pendue et ses positions rebelles deviennent problématiques. Ses parents décident alors de l’envoyer en Autriche pour la protéger.","[""L'Illusionniste"", 'Les Triplettes de Belleville', 'Watchmen: Chapter I', 'Pinocchio par Guillermo del Toro', 'Juste la fin du monde']",7,https://image.tmdb.org/t/p/original//3uFWf4ucKFW83mZ0KNVa7gllUg2.jpg,7300000.0,0.0,"Société des Producteurs de L'Angoa, Sony Pictures Classics, PROCIREP, Soficinéma, France 3 Cinéma, Diaphana Films, Sofica EuropaCorp, Celluloid Dreams, The Kennedy/Marshall Company, La Région Île-de-France, Fondation GAN pour le Cinéma, 2.4.7. Films, French Connection Animations, CNC",1970-01-01 00:00:00.000002007,"['66339d92c3926601296d9d17', '533ec65ac3a3685448000ad6']","['https://www.youtube.com/watch?v=5uaYtMb0lvs', 'https://www.youtube.com/watch?v=NZ22VyjJ6n8']",1970.0
